CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
734652	224	34	100	191	35	100
721935	601	74	91	370	59	91
720992	160	24	95	121	23	95
722331	815	83	103	608	79	103
721571	241	34	94	146	28	94
722182	267	37	97	184	32	97
721395	798	91	90	355	55	90
721280	162	28	96	118	26	96
721100	450	56	94	310	50	94
716653	783	88	104	508	72	104
716430	1737	185	87	1298	166	87
718722	778	84	118	533	73	118
733870	1618	175	91	971	128	91
721868	310	43	100	218	39	100
720983	1045	116	88	943	120	88
720890	173	26	97	102	23	97
721539	303	42	97	207	36	97
722179	167	26	96	116	25	96
721383	779	90	84	647	88	84
721258	621	73	96	427	66	96
721080	2024	219	83	1229	162	83
718087	414	51	96	151	28	96
717127	4287	466	80	2627	343	80
718718	425	56	93	237	40	93
734587	647	76	85	456	66	85
721853	988	110	125	887	122	125
720976	1553	170	94	1188	160	94
720888	1632	173	143	1202	157	143
721449	163	25	86	112	22	86
721364	6399	677	90	3231	419	90
721245	292	39	95	193	34	95
721070	1668	186	92	965	137	92
718070	1556	167	124	1170	158	124
699526	1820	204	98	1219	170	98
718713	207	29	100	153	28	100
598439	678	79	86	519	73	86
598397	401	51	100	264	42	100
597592	271	38	98	184	32	98
598130	2017	220	122	1278	168	122
598802	183	29	96	131	26	96
1350332	695	81	119	616	89	119
1367225	340	45	100	247	40	100
1279348	2349	263	93	1781	233	93
1279267	921	108	121	632	93	121
1279138	782	87	84	536	72	84
1279000	1263	136	128	545	80	128
598402	267	38	98	220	39	98
597657	332	43	98	278	44	98
598099	1441	154	143	1429	176	143
598801	2069	228	87	1566	211	87
1350327	12659	1302	105	8790	1044	105
1367157	2040	216	87	1317	175	87
1278854	2116	217	120	1462	186	120
1279344	385	51	85	346	56	85
1278511	1275	138	131	821	113	131
1279123	1128	126	83	442	66	83
1278289	1313	144	132	932	127	132
598401	17142	1674	83	10597	1228	83
598360	132	24	100	96	23	100
